is_premium,is_mid,is_budget,location_score,is_spring,is_active_market,location_size_interaction,price_per_sqm,location_code,unit_price_py,is_modern,land_area_sqm,building_age,is_gangnam,market_activity,location_score_sq,price_per_sqm_sqrt,cluster_id,cluster_avg_price,cluster_price_std,price_quartile,location_quartile,gangnam_modern,location_premium
0,1,0,70.0,0,1,1.82567,1049304.6776232617,0.0,3468775.7937959065,0,791.0,11,0,5,4900.0,1024.3562259405962,0,1379386778.982379,1152692162.284876,1,2,0,0.0
0,1,0,70.0,0,1,5.495419999999999,907894.7368421052,0.0,3001304.9151805136,1,1672.0,8,0,43,4900.0,952.8356294986587,0,1379386778.982379,1152692162.284876,2,2,0,0.0
0,1,0,70.0,0,1,11.21204,752501.0874293171,0.0,2487606.900592784,0,2299.0,17,0,43,4900.0,867.4687818182953,0,1379386778.982379,1152692162.284876,2,2,0,0.0
0,0,1,70.0,0,1,2.04232,247772.8285077951,0.0,819083.7306042814,0,1796.0,20,0,43,4900.0,497.76885047961275,0,1379386778.982379,1152692162.284876,0,0,0,0.0
0,1,0,70.0,1,1,3.3154799999999995,965352.688024285,0.0,3191248.555452181,0,1600.99,2,0,43,4900.0,982.5241411915969,0,1379386778.982379,1152692162.284876,2,2,0,0.0
0,1,0,70.0,0,1,2.06703,1047443.0067775724,0.0,3462621.510008504,1,811.5,9,0,43,4900.0,1023.4471196781847,0,1379386778.982379,1152692162.284876,1,1,0,0.0
1,0,0,70.0,0,1,21.40411,181795.52351739275,0.0,600976.9372475792,0,15401.91939727338,32,0,5,4900.0,426.37603534602266,0,1379386778.982379,1152692162.284876,3,3,0,0.7
0,0,1,70.0,1,1,4.095,111820.65596650384,0.0,369655.0610462937,0,1433.0,47,0,5,4900.0,334.3974520933194,0,1379386778.982379,1152692162.284876,0,0,0,0.0
0,0,1,70.0,1,1,4.095,111819.71830985916,0.0,369651.9613549063,0,710.0,47,0,5,4900.0,334.39605008112636,0,1379386778.982379,1152692162.284876,0,0,0,0.0
0,0,1,70.0,1,1,4.095,111820.83122149012,0.0,369655.6404016202,0,3946.0,47,0,5,4900.0,334.3977141391522,0,1379386778.982379,1152692162.284876,0,1,0,0.0
0,1,0,70.0,0,1,5.465319999999999,294579.7329143755,0.0,973817.2988904977,0,2036.8,17,0,5,4900.0,542.7529206870981,0,1379386778.982379,1152692162.284876,1,2,0,0.0
1,0,0,70.0,0,1,7.77,937411.4981591617,0.0,3098880.985650121,1,3531.0,4,0,43,4900.0,968.2006497411379,0,1379386778.982379,1152692162.284876,3,3,0,0.7
0,1,0,70.0,1,1,3.44855,2762096.7741935486,0.0,9130898.427086111,1,248.0,3,0,43,4900.0,1661.9560085012927,0,1379386778.982379,1152692162.284876,1,0,0,0.0
0,0,1,70.0,0,1,1.386,845697.3293768546,0.0,2795693.650832577,1,674.0,5,0,43,4900.0,919.6185782034063,0,1379386778.982379,1152692162.284876,0,0,0,0.0
0,1,0,70.0,1,1,6.846839999999999,742352.7894882845,0.0,2454058.808225734,0,2559.43,19,0,43,4900.0,861.5995528598448,0,1379386778.982379,1152692162.284876,2,3,0,0.0
0,0,1,70.0,0,1,16.03896,148230.96146258057,0.0,490019.707314316,1,3801.5,3,0,5,4900.0,385.0090407543446,0,1379386778.982379,1152692162.284876,0,0,0,0.0
0,1,0,70.0,0,1,4.095,170589.983200336,0.0,563933.8287614413,0,3809.6,47,0,5,4900.0,413.0266131865306,0,1379386778.982379,1152692162.284876,1,3,0,0.0
0,0,1,70.0,0,1,4.095,179838.35978835978,0.0,594506.9745069746,0,774.9,47,0,5,4900.0,424.0747101494733,0,1379386778.982379,1152692162.284876,0,0,0,0.0
0,1,0,70.0,1,1,4.095,144299.87094395282,0.0,477024.3667568688,0,4339.2,47,0,5,4900.0,379.8695446386204,0,1379386778.982379,1152692162.284876,1,1,0,0.0
0,1,0,70.0,1,1,4.095,174838.410559904,0.0,577978.2167269555,0,3666.7,47,0,5,4900.0,418.13802811978724,0,1379386778.982379,1152692162.284876,1,2,0,0.0
1,0,0,70.0,0,1,6.8922,874824.4970040149,0.0,2891981.808277735,0,2914.8703639791847,16,0,5,4900.0,935.3210662676292,0,1379386778.982379,1152692162.284876,3,1,0,0.7
0,1,0,70.0,0,1,2.24875,712563.0344222758,0.0,2355580.279081904,1,912.2,8,0,43,4900.0,844.1350806726823,0,1379386778.982379,1152692162.284876,1,0,0,0.0
